Date,Open,High,Low,Close,Adj Close,Volume
2007-12-31,61.450001,61.700001,61.049999,61.450001,51.418152,2870000
2008-01-02,60.099998,61.299999,60.000000,60.099998,50.288544,4975000
2008-01-03,59.099998,59.349998,58.599998,59.099998,49.451797,7413000
2008-01-04,59.099998,59.349998,58.049999,59.099998,49.451797,7686000
2008-01-07,56.400002,57.599998,56.299999,56.400002,47.192581,20041000
2008-01-08,56.950001,57.299999,56.450001,56.950001,47.652786,8722000
2008-01-09,58.000000,58.000000,55.900002,58.000000,48.531380,7480000
2008-01-10,57.900002,58.599998,57.900002,57.900002,48.447697,10311000
2008-01-11,57.650002,58.500000,57.450001,57.650002,48.238518,10135000
2008-01-14,58.799999,59.150002,58.099998,58.799999,49.200771,12103000
2008-01-15,61.049999,61.549999,59.400002,61.049999,51.083454,22177000
2008-01-16,58.400002,59.750000,58.400002,58.400002,48.866074,19193000
2008-01-17,58.150002,59.000000,57.349998,58.150002,48.656883,8915000
2008-01-18,58.500000,58.500000,56.349998,58.500000,48.949745,13973000
2008-01-21,57.700001,58.250000,57.549999,57.700001,48.280342,5570000
2008-01-22,53.700001,55.049999,53.700001,53.700001,44.933357,29372000
2008-01-23,53.599998,54.849998,53.400002,53.599998,44.849678,14849000
2008-01-24,55.000000,55.299999,53.799999,55.000000,46.021133,14820000
2008-01-25,56.400002,56.400002,55.599998,56.400002,47.192581,9858000
2008-01-28,54.599998,55.900002,54.500000,54.599998,45.686436,6879000
2008-01-29,55.099998,55.299999,54.400002,55.099998,46.104801,4122000
2008-01-30,54.950001,55.799999,54.750000,54.950001,45.979294,5995000
2008-01-31,54.950001,55.250000,54.200001,54.950001,45.979294,5214000
2008-02-01,56.400002,56.599998,55.200001,56.400002,47.192581,8780000
2008-02-12,54.950001,55.799999,54.849998,54.950001,45.979294,5988000
2008-02-13,54.799999,55.599998,54.700001,54.799999,45.853783,6310000
2008-02-14,57.799999,57.799999,56.150002,57.799999,48.364025,12588000
2008-02-15,57.299999,57.500000,56.650002,57.299999,47.945648,8800000
2008-02-18,57.200001,57.900002,57.000000,57.200001,47.861977,4977000
2008-02-19,58.000000,58.000000,57.250000,58.000000,48.531380,5129000
2008-02-20,56.900002,58.000000,56.799999,56.900002,47.610954,5471000
2008-02-21,58.549999,58.549999,57.549999,58.549999,48.991585,6293000
2008-02-22,58.799999,58.799999,57.750000,58.799999,49.200771,6729000
2008-02-25,60.000000,60.099998,59.200001,60.000000,50.204865,9509000
2008-02-26,60.200001,60.549999,59.799999,60.200001,50.372219,21028000
2008-02-27,60.700001,60.900002,60.500000,60.700001,50.790588,18902000
2008-02-29,60.849998,61.099998,60.299999,60.849998,50.916103,6040000
2008-03-03,59.150002,59.299999,58.349998,59.150002,49.493637,13929000
2008-03-04,60.700001,60.700001,59.000000,60.700001,50.790588,8528000
2008-03-05,60.900002,61.250000,60.450001,60.900002,50.957943,9561000
2008-03-06,62.299999,62.299999,61.000000,62.299999,52.129391,11383000
2008-03-07,61.400002,62.200001,61.349998,61.400002,51.376320,9123000
2008-03-10,59.599998,61.500000,59.549999,59.599998,49.870167,15551000
2008-03-11,60.099998,60.150002,58.900002,60.099998,50.288544,11904000
2008-03-12,60.650002,61.900002,60.500000,60.650002,50.748753,13016000
2008-03-13,59.099998,60.599998,59.000000,59.099998,49.451797,13476000
2008-03-14,58.450001,59.750000,58.250000,58.450001,48.907909,19572000
2008-03-17,57.349998,57.799999,56.650002,57.349998,47.987484,26900000
2008-03-18,57.900002,58.000000,57.099998,57.900002,48.447697,25754000
2008-03-19,58.500000,59.049999,58.200001,58.500000,48.949745,14916000
2008-03-20,59.950001,60.000000,58.200001,59.950001,50.163033,28038000
2008-03-21,61.549999,61.549999,60.500000,61.549999,51.501831,16003000
2008-03-24,64.150002,65.849998,63.450001,64.150002,53.677376,51747000
2008-03-25,63.049999,64.250000,62.799999,63.049999,52.756950,35045000
2008-03-26,62.400002,63.400002,62.349998,62.400002,52.213070,17675000
2008-03-27,61.200001,62.349998,61.049999,61.200001,51.208969,23719000
2008-03-28,62.000000,62.000000,61.049999,62.000000,51.878368,17195000
2008-03-31,60.450001,61.549999,60.250000,60.450001,50.581409,13952000
2008-04-01,60.049999,61.200001,60.049999,60.049999,50.246704,12023000
2008-04-02,61.750000,61.750000,60.900002,61.750000,51.669178,18679000
2008-04-03,61.200001,61.650002,61.099998,61.200001,51.208969,4678000
2008-04-07,62.200001,62.299999,61.250000,62.200001,52.045719,8599000
2008-04-08,61.599998,62.000000,61.599998,61.599998,51.543663,15977000
2008-04-09,61.599998,62.299999,61.200001,61.599998,51.543663,14875000
2008-04-10,62.599998,62.750000,61.599998,62.599998,52.380413,28001000
2008-04-11,63.500000,63.750000,62.650002,63.500000,53.133484,32349000
2008-04-14,63.200001,63.400002,62.650002,63.200001,52.882462,11653000
2008-04-15,63.150002,63.400002,63.049999,63.150002,52.840626,8215000
2008-04-16,64.199997,64.199997,63.500000,64.199997,53.719208,18606000
2008-04-17,64.650002,65.150002,64.349998,64.650002,54.095741,23563000
2008-04-18,64.400002,64.650002,63.900002,64.400002,53.886559,16441000
2008-04-21,64.599998,64.900002,64.250000,64.599998,54.053905,10629000
2008-04-22,64.400002,64.500000,63.799999,64.400002,53.886559,6921000
2008-04-23,63.750000,64.300003,63.349998,63.750000,53.342670,9664000
2008-04-24,63.450001,63.900002,63.349998,63.450001,53.091652,8303000
2008-04-25,63.500000,64.099998,63.299999,63.500000,53.133484,9121000
2008-04-28,64.150002,64.550003,63.450001,64.150002,53.677376,6139000
2008-04-29,63.500000,64.550003,63.200001,63.500000,53.133484,12700000
2008-04-30,63.900002,64.099998,63.400002,63.900002,53.468189,8093000
2008-05-02,64.199997,64.449997,63.650002,64.199997,53.719208,8735000
2008-05-05,62.950001,64.050003,62.500000,62.950001,52.673275,18902000
2008-05-06,63.049999,63.049999,62.400002,63.049999,52.756950,12487000
2008-05-07,63.599998,63.799999,63.049999,63.599998,53.217163,7427000
2008-05-08,62.700001,62.900002,62.200001,62.700001,52.464092,15493000
2008-05-09,62.250000,62.700001,62.049999,62.250000,52.087551,9909000
2008-05-12,62.700001,62.700001,61.900002,62.700001,52.464092,4900000
2008-05-13,63.900002,63.900002,62.599998,63.900002,53.468189,11661000
2008-05-14,64.150002,64.300003,63.750000,64.150002,53.677376,10345000
2008-05-15,65.050003,65.050003,64.400002,65.050003,54.430447,16819000
2008-05-16,65.400002,65.500000,64.949997,65.400002,54.723312,16800000
2008-05-19,65.650002,65.650002,65.099998,65.650002,54.932499,9347000
2008-05-20,64.000000,65.650002,63.799999,64.000000,53.551861,20740000
2008-05-21,63.400002,63.950001,63.150002,63.400002,53.049812,9574000
2008-05-22,63.450001,63.450001,62.500000,63.450001,53.091652,11600000
2008-05-23,62.450001,63.450001,62.349998,62.450001,52.254906,11232000
2008-05-26,61.599998,62.099998,61.500000,61.599998,51.543663,12650000
2008-05-27,62.200001,62.299999,61.750000,62.200001,52.045719,5680000
2008-05-28,61.700001,62.400002,61.500000,61.700001,51.627338,6985000
2008-05-29,62.299999,62.400002,61.950001,62.299999,52.129391,6869000
